Designator,Mid X,Mid Y,Rotation,Layer
C201,185.26,-57.485,90.0,top
C202,187.165,-57.485,90.0,top
C203,188.435,-52.405,180.0,top
C204,187.8,-69.55,0.0,top
C205,187.8,-74.63,0.0,top
C206,187.8,-78.44,0.0,top
C207,198.835985,-57.504831,90.0,top
C208,200.740985,-57.504831,90.0,top
C209,202.010985,-52.424831,180.0,top
C210,201.375985,-69.569831,0.0,top
C211,201.375985,-74.649831,0.0,top
C212,201.375985,-78.414061,0.0,top
C301,110.8,-55.4,270.0,top
C302,117.165,-56.4,90.0,top
C303,120.34,-57.67,90.0,top
C304,100.511635,-79.347771,270.0,top
C305,102.513332,-80.785015,270.0,top
C401,132.334975,-98.43,0.0,top
C402,134.6,-90.81,0.0,top
C403,129.794975,-92.715,0.0,top
C404,121.734975,-97.225,180.0,top
C601,189.4,-86.6,180.0,top
H302,164.529997,-97.6,270.0,top
IC602,154.0,-77.8,270.0,top
IC603,174.335178,-77.803417,270.0,top
L201,187.8,-63.2,0.0,top
R201,194.15,-56.215,90.0,top
R202,191.61,-52.405,0.0,top
R203,183.99,-53.675,270.0,top
R204,191.61,-54.31,180.0,top
R205,185.895,-53.675,90.0,top
R206,188.435,-54.31,0.0,top
R207,207.725985,-56.234831,90.0,top
R208,205.185985,-52.424831,0.0,top
R209,197.565985,-53.694831,270.0,top
R210,205.185985,-54.329831,180.0,top
R211,199.470985,-53.694831,270.0,top
R212,202.010985,-54.329831,0.0,top
R301,113.355,-57.035,180.0,top
R302,127.2,-89.0,90.0,top
R303,125.6,-89.0,90.0,top
R304,113.4,-58.6,0.0,top
R305,104.164332,-69.79799,270.0,top
R306,106.196332,-69.928475,270.0,top
R307,99.338332,-73.73499,270.0,top
R308,98.703332,-79.331624,90.0,top
R401,126.939,-82.809,0.0,top
R402,126.685,-85.848366,90.0,top
R403,136.21,-104.026634,90.0,top
R404,113.8,-89.01,270.0,top
R405,116.34,-89.01,270.0,top
R406,118.88,-89.01,270.0,top
R407,121.42,-89.01,270.0,top
R408,123.96,-89.01,270.0,top
R411,113.8,-85.2,270.0,top
R412,116.34,-85.2,270.0,top
R413,118.88,-85.2,270.0,top
R414,121.42,-85.2,270.0,top
R415,123.96,-85.2,270.0,top
R601,175.4,-95.953366,270.0,top
R602,192.2,-83.2,270.0,top
R603,177.0,-95.953366,270.0,top
R604,193.0,-86.153366,270.0,top
R605,178.6,-95.953366,270.0,top
R606,193.8,-83.2,270.0,top
R607,180.2,-95.953366,270.0,top
R608,194.6,-86.153366,270.0,top
R609,181.8,-95.953366,270.0,top
R610,195.4,-83.2,270.0,top
R611,183.4,-95.953366,270.0,top
R612,196.2,-86.153366,270.0,top
R613,185.0,-95.953366,270.0,top
R614,197.0,-83.2,270.0,top
R615,174.0,-95.953366,270.0,top
R616,191.4,-86.153366,270.0,top
R617,189.4,-101.6,270.0,top
R618,191.0,-101.6,270.0,top
R619,192.6,-101.6,270.0,top
R620,194.6,-101.6,270.0,top
R621,196.2,-101.6,270.0,top
R622,197.8,-101.6,270.0,top
R623,199.4,-101.6,270.0,top
R624,201.0,-101.6,270.0,top
R625,188.0,-99.153366,270.0,top
U201,189.705,-57.485,270.0,top
U202,203.280985,-57.504831,270.0,top
U203,202.040937,-62.973359,0.0,top
U301,132.6,-66.238513,0.0,top
U302,101.878332,-66.49599,0.0,top
U303,105.688332,-76.27499,90.0,top
U304,101.116332,-69.79799,0.0,top
U305,93.568282,-76.4,270.0,top
U401,132.4,-103.51,90.0,top
U402,131.765,-85.73,270.0,top
U403,121.8,-100.4,270.0,top
U507,159.7,-59.200127,180.0,top
U601,139.4,-95.8,90.0,top
U602,145.0,-95.8,90.0,top
U603,142.663405,-108.457969,180.0,top
U604,192.280251,-92.8,90.0,top
U605,183.500051,-110.499873,0.0,top
U606,112.0,-110.5,0.0,top
U607,104.4,-54.2,0.0,top
U608,104.4,-60.8,180.0,top
X401,133.67,-93.985,180.0,top
